OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,Top_200_Ca,Top_in_RPA,RPA_abbrev,Shape_Leng
69,0,25,8a71c007-51ff-4f1b-95f4-83cf5d02bc74,0,4,21,41,DAVIS STRAITS,DILLINGHAM AVENUE,SR28 NB,L184124,DAVIS STRAITS,DILLINGHAM AVENUE,SR28 NB,L184124,CAPE COD COMMISSION,FALMOUTH,5,{88B07161-04FE-4DD7-A266-70724234EE29},,,,,364.284204, ,Y,CCC,364.284167
70,0,26,aeabdf4b-2259-4292-807a-e1154d41405d,0,11,15,70,STATE STREET,FEDERAL STREET,N011,N024 NB,STATE STREET,FEDERAL STREET,N011,N024 NB,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{F5C32BED-9CF9-4D87-B0C1-3368672181F4},,,,,193.068265, ,Y,PVPC,193.068192
71,0,29,8044956a-89c7-49b2-b307-4e88122f6b39,0,6,23,53,SOLDIERS FIELD ROAD,WESTERN AVENUE,N082 EB,N1460,SOLDIERS FIELD ROAD,WESTERN AVENUE,N082 EB,N1460,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{5AB09820-B997-4F7F-9AB0-A18B539A56CB},,,,,297.508974, ,Y,MAPC,297.508976
72,0,23,1e2ab09e-75ab-44ab-b81b-08168179d79d,0,7,16,51,CONCORD ROAD,BOSTON ROAD,SR3A SB,SR3A NB,BOSTON ROAD,CONCORD ROAD,SR3A NB,SR3A SB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,BILLERICA,4,{57ECAEAE-8BC2-46B8-BC5B-C934CDE88F7C},,,,,221.677375, ,Y,NMCOG,221.677315
73,0,27,c624dc7b-1100-42b5-941c-f2176d13f9b1,0,6,21,51,FOUNTAIN STREET,WINTER STREET,N2717,N1388,WINTER STREET,FOUNTAIN STREET,N1388,N2717,METROPOLITAN AREA PLANNING COUNCIL,FRAMINGHAM,3,{A6D93D46-8A06-4015-8F97-6A853426A001},,,,,156.880223, ,Y,MAPC,156.880337
74,0,20,64489a1e-8f68-494b-8888-8d85a2148611,0,8,12,52,SOUTH STREET,INTERSTATE 495,SR1A NB,I495 NB,INTERSTATE 495,SOUTH STREET,I495 NB,SR1A NB,METROPOLITAN AREA PLANNING COUNCIL,WRENTHAM,5,{B5AABF82-E85F-4898-BA99-59E95E2E7595},,,,,210.089202, ,Y,MAPC,210.08922
75,0,21,1c50ee58-4f25-43ea-a116-53080fa7946b,0,12,9,69,NORTH SIXTH STREET,ELM STREET,N5303,N5499,NORTH SIXTH STREET,ELM STREET,N5303,N5499,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{257099DF-2E49-4418-8431-8971399097AF},,,,,162.546425, ,Y,SRPEDD,162.54646
76,0,18,a8d8479a-b4cf-4628-a3b4-9d8d128d0ea7,0,5,13,38,FALMOUTH ROAD,COTUIT ROAD,SR28 NB,SR130 NB,FALMOUTH ROAD,COTUIT ROAD,SR28 NB,SR130 NB,CAPE COD COMMISSION,BARNSTABLE,5,{FD4320D1-EBD8-41BE-9EA0-B099E4C01C43},,,,,199.613909, ,Y,CCC,199.613917
77,0,13,c50accbf-3dd5-4c3a-a164-3b8ac457aaa8,0,8,5,45,REVERE BEACH PARKWAY,UNION STREET,SR16 EB,N2294,REVERE BEACH PARKWAY,UNION STREET,SR16 EB,N2294,METROPOLITAN AREA PLANNING COUNCIL,CHELSEA,6,{9B5D88D2-DCCA-42F1-8AF3-F3F20CDA848B},,,,,263.505253, ,Y,MAPC,263.505373
78,0,20,8ccf2af9-7df4-4d19-99cb-8c5c6b308d82,0,6,14,44,PLUMTREE ROAD,BRADLEY ROAD,N4891,N4920,PLUMTREE ROAD,BRADLEY ROAD,N4891,N4920,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{E7AC8CF7-09DF-4C21-A8E7-6E25478F6BC3},,,,,162.647742, ,Y,PVPC,162.647769
79,0,32,2e6cea31-f3e4-4d98-a3ab-88500fe6e7d6,0,10,22,72,PARKER STREET,WILBRAHAM ROAD,N017 NB,N4892,PARKER STREET,WILBRAHAM ROAD,N017 NB,N4892,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{2A7EDE79-0DAE-4AED-80A1-C2D25BCAB040},,,,,187.983484, ,Y,PVPC,187.983465
80,0,19,09e10e9f-9af8-4c82-b1d1-459529487af4,0,6,13,43,HAMMOND POND PARKWAY,HEATH STREET,N074 NB,N3130 EB,HAMMOND POND PARKWAY,HEATH STREET,N074 NB,N3130 EB,METROPOLITAN AREA PLANNING COUNCIL,BROOKLINE,6,{77F1D569-F516-4AA0-9C13-D6C4310B8D97},,,,,200.01032, ,Y,MAPC,200.010374
81,0,31,c44181f1-769e-4cb2-9486-b4ed3f49317f,1,10,20,80,COLUMBIA ROAD,DORCHESTER AVENUE,N120 NB,N113 NB,COLUMBIA ROAD,DORCHESTER AVENUE,N120 NB,N113 NB,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{C31D3D59-39FF-4EC9-A413-7149337050F6},,,,,156.880284, ,Y,MAPC,156.88034
82,0,20,d3f1c352-d76a-43c0-9b62-46da54b3a448,0,8,12,52,BEDFORD STREET,WHITMAN STREET,SR18 NB,SR106 EB,BEDFORD STREET,WHITMAN STREET,SR18 NB,SR106 EB,OLD COLONY PLANNING COUNCIL,EAST BRIDGEWATER,5,{897C9D2A-2A37-4482-834D-0C6BB5B30CE4},,,,,156.880326, ,Y,OCPC,156.880374
83,0,31,93539d8f-3067-4be5-af9e-d17461dc9328,0,10,21,71,COGGESHALL STREET, ,N5320, ,COGGESHALL STREET, ,N5320, ,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{049E3F41-53C8-4B06-BA63-72AA79131CB0},,,,,163.28842, ,Y,SRPEDD,163.288495
84,0,81,5cb8a039-4179-435c-901d-ea26a550a91b,0,11,70,125,HAVERHILL STREET,WOODLAND STREET,SR110 EB,N4240,HAVERHILL STREET,WOODLAND STREET,SR110 EB,N4240,MERRIMACK VALLEY PLANNING COMMISSION,METHUEN,4,{E0E2E5EB-87F3-4ADA-8A73-955472B06EA6},,,,,549.398026,Y,Y,MVPC,549.398017
85,0,27,7fa7a4df-f627-4031-83e1-887e7352249f,0,6,21,51,SCHOOL STREET, ,N5629, ,SCHOOL STREET, ,N5629, ,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,MANSFIELD,5,{4C981B98-EAAF-4501-8816-C169FFC5846E},,,,,156.880395, ,Y,SRPEDD,156.880358
86,0,34,f966937b-e602-447c-81c3-d8e3c8daba72,0,9,25,70,HANCOCK STREET, ,SR3A NB, ,HANCOCK STREET, ,SR3A NB, ,METROPOLITAN AREA PLANNING COUNCIL,QUINCY,6,{05DDE5E0-6963-4DB5-9A3C-3B6A9BE8286B},,,,,272.555786, ,Y,MAPC,272.555733
87,0,27,62424f73-ed7e-420a-9ea4-7bd1d06be704,0,11,16,71,BOSTON ROAD,BOYER STREET,N011,L188943,BOSTON ROAD,BOYER STREET,N011,L188943,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{FA1B1ECE-941F-4D95-B2D5-7F929BD22DCD},,,,,222.734391, ,Y,PVPC,222.734331
88,0,17,783322d8-8269-4dc4-a9f6-8a915178d5fa,0,8,9,49,WEST MAIN STREET,PITCHERS WAY, ,N3234,WEST MAIN STREET,PITCHERS WAY, ,N3234,CAPE COD COMMISSION,BARNSTABLE,5,{5482F73C-6536-4562-8A98-31BAE449B407},,,,,219.017292, ,Y,CCC,219.017287
89,0,32,78f7e4dc-2d4f-439d-a437-7c6f31c852ba,0,10,22,72,INTERSTATE 195,RAMP-RT 195 EB TO LEES RIVER AVE (RT 103),I195 EB,R14007,INTERSTATE 195,RAMP-RT 195 EB TO LEES RIVER AVE (RT 103),I195 EB,R14007,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SOMERSET,5,{BC1ABCD8-48AE-4A88-BC4D-C5D33BD53C68},,,,,156.880274, ,Y,SRPEDD,156.880277
90,0,30,00176b2b-0d33-4d13-9851-5feee9673e40,0,10,20,70,STAFFORD STREET,HEARD STREET,N3545,N3689,STAFFORD STREET,HEARD STREET,N3545,N3689,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{F704153D-E625-4195-BC09-A5D244933682},,,,,215.771624, ,Y,CMRPC,215.771605
91,0,31,82a47045-5400-42ac-a814-24ced84793b0,0,13,18,83,BRADFORD AVENUE,BROADWAY,L174174,SR138 NB,BROADWAY,BRADFORD AVENUE,SR138 NB,L174174,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{8EDFC6CD-808E-4F41-95DD-C6E85DA73F9A},,,,,265.205238, ,Y,SRPEDD,265.205236
92,0,22,b20b52ff-309d-457d-88ac-178373775b76,0,5,17,42,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 NB/128 NB TO SALEM ST,I95 NB,R12709,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 NB/128 NB TO SALEM ST,I95 NB,R12709,METROPOLITAN AREA PLANNING COUNCIL,WAKEFIELD,4,{841CAE1F-7E9C-497D-B5B0-DA1349B2EE1F},,,,,157.865247, ,Y,MAPC,157.865272
93,0,35,5b2cc547-ee40-44cc-a157-a2337e42659b,0,4,31,51,TURNPIKE ROAD,MILK STREET,SR9 EB,SR135 EB,TURNPIKE ROAD,MILK STREET,SR9 EB,SR135 EB,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WESTBOROUGH,3,{5E23BBE9-7209-4D2F-8E62-E832694C4D69},,,,,304.881629, ,Y,CMRPC,304.881579
94,0,30,d00bcbc5-4cdd-4fe1-a03d-82067f93be9b,0,8,22,62,HARTFORD AVENUE EAST,CAPE ROAD,N3608,SR140 NB,CAPE ROAD,SOUTH MAIN STREET,SR140 NB,SR140 NB,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,"MENDON,HOPEDALE",3,{DCC31957-78CD-45C1-8712-43E3521604AE},,,,,189.599624, ,Y,CMRPC,189.599598
95,0,79,4d6ebdbc-0cff-486a-95ad-74472fe5e25f,0,14,65,135,EVERETT AVENUE, ,N349,B1,EVERETT AVENUE, ,N349,B1,METROPOLITAN AREA PLANNING COUNCIL,CHELSEA,6,{E1E566FF-675B-4692-9DC0-C60284D6669E},,,,,430.760007,Y,Y,MAPC,430.759949
96,0,19,372267b1-6197-4a31-973b-354fc946fdd0,0,11,8,63,KING PHILIP STREET,BROADWAY,L118872,SR138 NB,BROADWAY,KING PHILIP STREET,SR138 NB,L118872,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,RAYNHAM,5,{138F8E88-F8F9-4632-9FE7-6A0F27A9FD38},,,,,156.88037, ,Y,SRPEDD,156.88037
97,0,42,cb90b091-397b-4d4f-b110-9cb537f37614,0,9,33,78,INTERSTATE 93,RAMP-RT 62 TO RT 93 NB,I93 NB,R12207,INTERSTATE 93,RAMP-RT 62 TO RT 93 NB,I93 NB,R12207,METROPOLITAN AREA PLANNING COUNCIL,WILMINGTON,4,{AB318285-6D69-44FC-BCAA-A59D8FB60B27},,,,,297.083775, ,Y,MAPC,297.083792
98,0,30,7f0a82d0-e16d-453c-bf92-aee87616e70e,0,9,21,66,FORBES BOULEVARD,CHAUNCY STREET,L191552,SR106 EB,CHAUNCY STREET,FORBES BOULEVARD,SR106 EB,L191552,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,MANSFIELD,5,{F351E553-9298-4CDB-9D32-6581BBF9629A},,,,,207.784721, ,Y,SRPEDD,207.78476
99,0,23,c480ea68-f052-4328-869d-756d48da0715,0,2,21,31,GREEN STREET, ,N3967, ,GREEN STREET, ,N3967, ,MONTACHUSETT REGIONAL PLANNING COMMISSION,GARDNER,3,{A76D5AE0-2FA7-4A37-8BA9-2A2A702E1A10},,,,,156.880357, ,Y,MRPC,156.880337
100,0,59,90f92037-1f16-4f04-ae13-5c6575710bce,0,12,47,107,CHAUNCY STREET,THOMAS STREET,SR106 EB,L158039,CHAUNCY STREET,NORTH MAIN STREET,SR106 EB,N5466,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,MANSFIELD,5,{B3C38690-0413-47DE-82A1-F068BAEADFA6},,,,,261.068301,Y,Y,SRPEDD,261.068215
101,0,31,6e30e615-216a-44fa-8e02-eba7668ddd50,1,11,19,84,INTERSTATE 495,RAMP-RT 495 NB TO KING ST,I495 NB,R13055,INTERSTATE 495,RAMP-RT 495 NB TO KING ST,I495 NB,R13055,METROPOLITAN AREA PLANNING COUNCIL,FRANKLIN,3,{8BBF204A-36F7-4334-9845-462347D0A7C3},,,,,156.880409, ,Y,MAPC,156.880374
102,0,24,ba94de86-e0f2-4f14-9a93-78399fa9f87e,0,6,18,48,CONCORD STREET,HOWARD STREET,SR126 NB,N2723,CONCORD STREET,HOWARD STREET,SR126 NB,N2723,METROPOLITAN AREA PLANNING COUNCIL,FRAMINGHAM,3,{5A2B5C18-2CF1-41EF-B9A6-B63A8C17A533},,,,,263.99437, ,Y,MAPC,263.994349
103,0,25,7073d491-79e3-4a97-a444-0138cbd1d626,0,5,20,45,SPRING STREET,THIRD STREET,L191582,N1479,THIRD STREET,SPRING STREET,N1479,L191582,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{086B75EF-E3E9-4BBB-9954-C8071356C2B8},,,,,156.880345, ,Y,MAPC,156.880328
104,0,21,876f886c-5149-4d3e-9abc-d9213ef533ca,0,8,13,53,MAPLE STREET,APPLETON STREET,N025,SR141 EB,MAPLE STREET,APPLETON STREET,N025,SR141 EB,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{5AC2FA2B-627C-4774-9447-8BC03FB59CB8},,,,,206.140133, ,Y,PVPC,206.140108
105,0,60,8b0fddce-d1f5-49b9-9d57-3307b399a330,0,12,48,108,MEDWAY ROAD,BEAVER STREET,SR109 EB,N1710,MEDWAY ROAD,BEAVER STREET,SR109 EB,N1710,METROPOLITAN AREA PLANNING COUNCIL,MILFORD,3,{22333834-2FE1-4A1A-8F06-BDD31119F06F},,,,,299.457707,Y,Y,MAPC,299.457793
106,0,70,396117a2-cdcc-40bc-b708-4649df824c4a,0,17,53,138,GENERAL CASIMIR PULASKI SKYWAY,BOSTON STREET,I93 NB,N1610,GENERAL CASIMIR PULASKI SKYWAY,SOUTHBOUND FRONTAGE ROAD,I93 NB,R12132,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{7CFBE664-B429-4FEE-A251-9E3790BA70B1},,,,,245.510677,"N, HIGHWAY",Y,MAPC,245.510734
107,0,19,7825ffc0-1903-4b4c-ac10-7ef3733a127b,0,5,14,39,INTERSTATE 93,ALBERT SLACK HIGHWAY,I93 NB,SR213 EB,INTERSTATE 93,INTERSTATE 93 SB CD ROAD,I93 NB,R12228,MERRIMACK VALLEY PLANNING COMMISSION,METHUEN,4,{3FD911B1-1A15-45F6-B6B5-BED7585EE41A},,,,,247.335019, ,Y,MVPC,247.334969
108,0,28,f37627fb-ab3d-45c0-a051-e65c7ce9c1e7,0,6,22,52,MAIN STREET,NORTH STREET,SR13 NB,N4128,MAIN STREET,NORTH STREET,SR13 NB,N4128,MONTACHUSETT REGIONAL PLANNING COMMISSION,LEOMINSTER,3,{1DB27DAC-40E9-4953-9228-516F9F5F91FE},,,,,217.0029, ,Y,MRPC,217.002845
109,0,25,94f5e695-d749-42bb-b238-829349b0cf2a,0,8,17,57,SOUTH AVENUE,RAMP-RTS 95 SB/128 SB TO RT 90,SR30 EB,R50112,RAMP-RTS 95 SB/128 SB TO RT 90,SOUTH AVENUE,R50112,SR30 EB,METROPOLITAN AREA PLANNING COUNCIL,WESTON,6,{1E0C7FF8-96DD-42A7-ABB2-400B12DA9974},,,,,213.009482, ,Y,MAPC,213.009515
110,0,21,fef1d3cb-76a5-4065-8f78-b07e6015234e,0,7,14,49,UNION STREET,CANAL STREET,N4225,N4232,UNION STREET,CANAL STREET,N4225,N4232,MERRIMACK VALLEY PLANNING COMMISSION,LAWRENCE,4,{8DD75959-C533-4AB7-A58C-F59EE4C97F0D},,,,,256.526291, ,Y,MVPC,256.526191
111,0,19,5dc0b3d5-4d32-4bea-837d-6179f98b06f6,0,9,10,55,RIVERSIDE AVENUE,RAMP-RT 6 WB TO RT 138,SR103 EB,SR138 NB,RAMP-RT 6 WB TO RT 138,RIVERSIDE AVENUE,SR138 NB,SR103 EB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SOMERSET,5,{58160C19-0DEB-496F-BC02-A2FA34E31CBC},,,,,304.836012, ,Y,SRPEDD,304.836055
112,0,28,03c2090c-966e-4838-947e-c8da7ac8e101,0,6,22,52,MASSACHUSETTS TURNPIKE, ,I90 EB, ,MASSACHUSETTS TURNPIKE, ,I90 EB, ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,OXFORD,3,{A3DBBF55-FDEE-4A4D-800C-85A6325E6BF1},,,,,203.650194, ,Y,CMRPC,203.650135
113,0,17,7336095a-090d-4f89-b14c-d178223c6fbe,0,11,6,61,BELMONT STREET,MANOMET STREET,SR123 EB,N4689,BELMONT STREET,MANOMET STREET,SR123 EB,N4689,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{2DE0C896-DAC0-4057-BD7D-68F39265DFCF},,,,,156.880394, ,Y,OCPC,156.880366
114,0,26,58e0cc07-3238-4194-b6fe-b44641573aff,0,8,18,58,APPLETON STREET,GORHAM STREET,SR110 EB,N088 EB,APPLETON STREET,GORHAM STREET,SR110 EB,N088 EB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{06BC83A5-8132-4866-89BC-241A7746B8AD},,,,,156.880234, ,Y,NMCOG,156.880307
115,0,12,797c35bf-4211-4efd-a606-4033aeec64b3,0,8,4,44,BOSTON ROAD, ,N011, ,BOSTON ROAD, ,N011, ,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{F3A1AAC1-DE7A-4647-9A73-611386BB13DD},,,,,259.686177, ,Y,PVPC,259.68629
116,0,94,c05d6d29-ae95-4b3f-9623-888fd46a24c3,0,31,63,218,ALFRED BESSETTE MEMORIAL HIGHWAY,KEMPTON STREET,SR140 NB,US6 EB,ALFRED BESSETTE MEMORIAL HIGHWAY,KEMPTON STREET,SR140 NB,US6 EB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{06397D28-B966-41F2-91C7-D255158D4D0C},,,,,338.590516,Y,Y,SRPEDD,338.590432
117,0,19,125548ee-c698-4e4a-871d-84796839f2e4,1,7,11,56,MAIN STREET,FAIRLAWN AVENUE,SR12 NB,L121307,MAIN STREET,FAIRLAWN AVENUE,SR12 NB,L121307,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,OXFORD,3,{B2444AAC-D0AF-49FB-B3CA-C0853B2E6240},,,,,179.383198, ,Y,CMRPC,179.383131
118,0,37,642d461d-7d23-4d46-8d6a-f8ab3b83f30b,0,12,25,85,INTERSTATE 93,RAMP-RT 93 NB TO RT 60,I93 NB,R12165,INTERSTATE 93,RAMP-RT 93 NB TO RT 60,I93 NB,R12165,METROPOLITAN AREA PLANNING COUNCIL,MEDFORD,4,{A80D39D6-A480-4524-8C3B-9F28151832EE},,,,,156.880372, ,Y,MAPC,156.88034
119,0,20,d9a3c71d-0980-4397-9128-799403602bd9,0,8,12,52,YANKEE DIVISION HIGHWAY,MAIN STREET CIRCLE,I95 NB,SR38 NB,YANKEE DIVISION HIGHWAY,MAIN STREET CIRCLE,I95 NB,SR38 NB,METROPOLITAN AREA PLANNING COUNCIL,WOBURN,4,{4D061200-156B-4F51-AA61-92DAE5D7E040},,,,,199.84273, ,Y,MAPC,199.842768
120,0,45,40806468-a0a4-43ae-8ae4-a10e1bccfb83,0,7,38,73,MASSACHUSETTS TURNPIKE,RAMP-RT 90 EB TO CENTRE AVE,I90 EB,R11702,MASSACHUSETTS TURNPIKE,RAMP-RT 90 EB TO CENTRE AVE,I90 EB,R11702,METROPOLITAN AREA PLANNING COUNCIL,NEWTON,6,{81296000-F2F9-44D3-A8F5-1A7E38D1F0F3},,,,,198.075403, ,Y,MAPC,198.075381
121,0,34,9ad60ee3-42ec-4c77-a850-f0f55142d36b,0,9,25,70,WEST STREET, ,US20 EB, ,WEST STREET, ,US20 EB, ,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{487DF0BD-EF16-4F64-9836-5659B1ADE91C},,,,,161.716171, ,Y,PVPC,161.716158
122,0,55,f13118da-610a-466c-8af1-0859b64dc8a8,0,18,37,127,AYER ROAD,CONCORD TURNPIKE,SR110 EB,SR2 EB,AYER ROAD,CONCORD TURNPIKE,SR110 EB,SR2 EB,MONTACHUSETT REGIONAL PLANNING COMMISSION,HARVARD,3,{FEE42676-5039-46AC-820E-B3A64FAF7697},,,,,205.729115,"N, HIGHWAY",Y,MRPC,205.729172
123,0,34,aee7196c-e588-4b68-a7dd-0f9260b79c62,1,12,21,91,BROADWAY,OAK STREET,SR138 NB,L127552,BROADWAY,CARVER STREET,SR138 NB,L155153,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,RAYNHAM,5,{6282D631-68CF-4229-A875-B6C354228502},,,,,218.26335, ,Y,SRPEDD,218.263319
124,0,26,2cb817db-1a4c-4b18-aad2-7f8827daa44b,0,6,20,50,EAST MAIN STREET,HAYWARD STREET,SR16 EB,L208861,EAST MAIN STREET,HAYWARD STREET,SR16 EB,L208861,METROPOLITAN AREA PLANNING COUNCIL,MILFORD,3,{4B124406-C5E8-4A60-846A-3F433D62CA89},,,,,260.34999, ,Y,MAPC,260.349919
125,0,26,302f9af5-7523-45e3-bf3f-9c181f5e0a6e,0,7,19,54,FRONTAGE ROAD,JOHN F FITZGERALD EXPRESSWAY,N124 NB,I93 NB,JOHN F FITZGERALD EXPRESSWAY,RT 93 NB HOV LANE,I93 NB,R12091,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{B1B8B023-461E-4AD9-9B2B-BE32640494A9},,,,,199.664792, ,Y,MAPC,199.664796
126,0,14,cad22b63-6850-4e86-a08f-a3f44a4f05ed,0,9,5,50,BERKSHIRE AVENUE,HARVEY STREET,N4923,L200952,BERKSHIRE AVENUE,HARVEY STREET,N4923,L200952,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{35836E24-ADCB-4D31-90D9-A6C1C73EE8AD},,,,,210.802831, ,Y,PVPC,210.802877
127,0,35,165aa2bf-719d-4298-a7af-ba80c3a4b9b1,0,11,24,79,BLUE STAR MEMORIAL HIGHWAY,RAMP-LYNN FELLS PKWY TO RT 1 NB,US1 NB,R21024,BLUE STAR MEMORIAL HIGHWAY,RAMP-LYNN FELLS PKWY TO RT 1 NB,US1 NB,R21024,METROPOLITAN AREA PLANNING COUNCIL,SAUGUS,4,{CEF09500-44B9-422D-B155-F67F836D7075},,,,,220.470907, ,Y,MAPC,220.470924
128,0,30,b51daced-6230-4273-90b2-a38b60706554,0,3,27,42,EAST MAIN STREET, ,SR12 NB, ,EAST MAIN STREET, ,SR12 NB, ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WEBSTER,3,{6F0CF997-F65A-4860-A211-9EE39DA9D5CA},,,,,379.481061, ,Y,CMRPC,379.481097
129,0,22,c1c4a714-b75c-4f9a-ad4f-f0550b4b3bdd,0,5,17,42,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 SB/128 SB TO RT 9 WB,I95 NB,R12601,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 SB/128 SB TO RT 9 WB,I95 NB,R12601,METROPOLITAN AREA PLANNING COUNCIL,WELLESLEY,6,{F1C73CDC-BB33-4C21-8EC8-E2C16535A806},,,,,156.880365, ,Y,MAPC,156.88034
130,0,46,001f709b-fad1-40c2-8d0f-dc55fb2ea112,0,14,32,102,INTERSTATE 91,RIVERDALE STREET,I91 NB,US5 NB,INTERSTATE 91,RIVERDALE STREET,I91 NB,US5 NB,PIONEER VALLEY PLANNING COMMISSION,WEST SPRINGFIELD,2,{60AD67C9-9D4C-43EF-992C-7F221BAE733D},,,,,309.580994,"N, HIGHWAY",Y,PVPC,309.58096
131,0,46,bd8d9a2c-6079-475c-9d72-eb86b9c40860,0,14,32,102,INTERSTATE 95,LOWELL STREET,I95 NB,N1192 EB,INTERSTATE 95,RAMP-RT 95 SB TO RT 1 SB,I95 NB,R12797,METROPOLITAN AREA PLANNING COUNCIL,PEABODY,4,{C2D99773-B207-4DE0-8F1C-FD81EEDB9937},,,,,256.524426,"N, HIGHWAY",Y,MAPC,256.524345
132,0,38,5c273304-da90-4adf-8819-89b36ce01177,1,12,25,95,INTERSTATE 495,INTERSTATE 495 NB CD ROAD,I495 NB,R50222,INTERSTATE 495,INTERSTATE 495 NB CD ROAD,I495 NB,R50222,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,MANSFIELD,5,{8A9F54E1-1480-4894-8D96-22D80238C15E},,,,,156.880274, ,Y,SRPEDD,156.880307
133,0,35,77cc7a1b-8650-4f33-9f67-08424672f537,0,9,26,71,WASHINGTON STREET,BLUE HILL RIVER ROAD,SR138 NB,N1641,WASHINGTON STREET,BLUE HILL RIVER ROAD,SR138 NB,N1641,METROPOLITAN AREA PLANNING COUNCIL,CANTON,6,{A37603BE-0EA5-4DE3-8711-13D7C1FD58D8},,,,,263.7269, ,Y,MAPC,263.726935
134,0,24,f75a6646-863f-4738-aed6-9b35999836f5,0,9,15,60,COUNTY STREET,MILL STREET,N5297,US6 WB,COUNTY STREET,MILL STREET,N5297,US6 WB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{BAC5EB28-F327-4480-8BE6-F88A63ADB1DF},,,,,161.474971, ,Y,SRPEDD,161.474952
135,0,16,5c7d8ba8-1f97-482b-8732-2eefa804e40f,0,9,7,52,OAK STREET,NORTH WARREN AVENUE EXTENSION,N4625,L200729,OAK STREET,NORTH WARREN AVENUE EXTENSION,N4625,L200729,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{0E50E1B9-DA59-4C9D-A85C-DF996DFAD040},,,,,196.222186, ,Y,OCPC,196.222191
136,0,35,aca2e944-629d-44aa-965a-17b083306702,0,9,26,71,GRANBY ROAD,LYMAN STREET,US202 NB,SR33 NB,GRANBY ROAD,LYMAN STREET,US202 NB,SR33 NB,PIONEER VALLEY PLANNING COMMISSION,SOUTH HADLEY,2,{4399361E-2351-4525-BFCB-D555C1E1C55D},,,,,198.020713, ,Y,PVPC,198.020676
137,0,43,0b948990-105f-4ecd-8a75-ce2aec8b257b,0,14,29,99,RESNIC BOULEVARD,MAPLE STREET,N027 NB,N025,RESNIC BOULEVARD,MAPLE STREET,N027 NB,N025,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{315D0B81-D88B-4D47-9611-82CA56BBDF4B},,,,,226.283511,Y,Y,PVPC,226.283489
